Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;;;;;;;;
Pseudotrapelus;dhofarensis;Pseudotrapelus_dhofarensis;Pseudotrapelus dhofarensis;Genus Hajars;0;1;1;0;;;;;;;;
Pseudotrapelus;jensvindumi;Pseudotrapelus_jensvindumi;Pseudotrapelus jensvindumi;Hajars;1;0;1;0;;;;;;;;
Pseudotrapelus;neumanni;Pseudotrapelus_neumanni;Pseudotrapelus neumanni;Genus Hajars;0;1;1;0;;;;;;;;
Pseudotrapelus;sinaitus;Pseudotrapelus_sinaitus;Pseudotrapelus sinaitus;Genus Hajars;0;1;1;0;;;;;;;;
Ptyodactylus;ananjevae;Ptyodactylus_ananjevae;Ptyodactylus ananjevae;Genus Hajars;0;1;1;0;;;;;;;;
Ptyodactylus;dhofarensis;Ptyodactylus_dhofarensis;Ptyodactylus dhofarensis;Genus Hajars;0;1;1;0;;;;;;;;
Ptyodactylus;guttatus;Ptyodactylus_guttatus;Ptyodactylus guttatus;Genus Hajars;0;1;0;1;;;;;;;;
Ptyodactylus;hasselquistii;Ptyodactylus_hasselquistii;Ptyodactylus hasselquistii;Genus Hajars;0;1;0;1;;;;;;;;
Ptyodactylus;orlovi;Ptyodactylus_orlovi;Ptyodactylus orlovi;Hajars;1;0;1;0;;;;;;;;
Ptyodactylus;oudrii;Ptyodactylus_oudrii;Ptyodactylus oudrii;Genus Hajars;0;1;0;1;;;;;;;;
